t,x,x_n,v_x,v_xn,a_x,a_xn,y,y_n,v_y,v_yn,a_y,a_yn
1.52,91.2,94.7224,60,61.0792,0,-7.71124,64.7535,71.4556,35.104,36.7887,-9.8,-21.5413
1.53,91.8,91.892,60,69.727,0,4.65759,65.1046,72.6557,35.006,35.2516,-9.8,-4.97371
1.54,92.4,86.7239,60,63.8484,0,8.78125,65.4546,64.0586,34.908,37.4287,-9.8,-12.6277
1.55,93,86.8059,60,54.119,0,2.40834,65.8037,60.2503,34.81,29.4867,-9.8,-11.0112
1.56,93.6,87.1724,60,57.4373,0,1.66473,66.1518,63.9328,34.712,43.0441,-9.8,-8.76162
1.57,94.2,94.9687,60,51.8092,0,-7.56329,66.4989,67.6455,34.614,27.2851,-9.8,-12.0944
1.58,94.8,103.313,60,59.177,0,-4.4603,66.8451,66.4449,34.516,38.5248,-9.8,-16.4838
1.59,95.4,90.9048,60,56.5017,0,-11.0482,67.1902,58.251,34.418,26.0169,-9.8,-6.11747
1.6,96,101.329,60,60.2105,0,0.826025,67.5344,67.8036,34.32,40.621,-9.8,-12.1274
1.61,96.6,97.4851,60,49.8821,0,3.80829,67.8776,74.5707,34.222,39.7898,-9.8,-9.28462
1.62,97.2,98.1225,60,55.618,0,1.67392,68.2198,67.5655,34.124,34.5821,-9.8,-12.5354
1.63,97.8,105.219,60,60.4578,0,3.81916,68.5611,67.9063,34.026,35.8223,-9.8,-12.0832
1.64,98.4,102.223,60,55.0205,0,6.65122,68.9013,68.3395,33.928,34.4996,-9.8,-2.48392
1.65,99,101.41,60,51.1663,0,-3.05472,69.2406,65.5266,33.83,41.1377,-9.8,-6.07362
1.66,99.6,94.2941,60,63.2799,0,4.71529,69.5789,74.4071,33.732,26.9309,-9.8,-4.69448
1.67,100.2,102.029,60,62.311,0,-7.67792,69.9162,64.7892,33.634,38.8446,-9.8,-11.4154
1.68,100.8,103.224,60,68.8261,0,10.8903,70.2526,68.6929,33.536,41.6845,-9.8,-6.46734
